satellite_img_name,BD09 coordinate,WGS84 coordinate,carbon_emissions (ton),population (unit),gdp (million yuan),caption,streetview_img_names
Beijing/16_12659_4738_s.jpg,"(12659,4738)","(40.09315850201147, 116.44569035648394)",564.68396,1916,4344.1465,"The image depicts a large, open field with a mix of grass and dirt, located in a rural area; The field is bordered by a row of buildings, including houses and apartment complexes, which are situated on the outskirts of the city; The area appears to be a mix of residential and agricultural land, with the field possibly being used for farming or recreational purposes; The presence of the buildings and the open field creates a contrast between urban and rural landscapes.","50870_116.452766,40.097876_201308_29.46.jpg, 50877_116.449111,40.09969_201308_280.06.jpg"
Beijing/16_12668_4714_s.jpg,"(12668,4714)","(39.92338530941099, 116.52847819228352)",1667.1362,6945,10000.0,"The image is a satellite view of a large city, featuring a mix of residential and commercial buildings; The city is densely populated, with numerous tall buildings and apartment complexes scattered throughout the area; The streets are lined with various vehicles, including cars and trucks, which are parked or moving along the roads; The cityscape is bustling with activity, showcasing the urban lifestyle of the residents.","37947_116.537454,39.926329_201902_358.97.jpg, 37961_116.535723,39.926083_201902_111.71.jpg, 37960_116.530157,39.927638_201902_105.95.jpg, 37943_116.537141,39.927182_201605_357.17.jpg, 37952_116.536945,39.927306_201601_177.78.jpg, 37962_116.534804,39.928852_201902_88.82.jpg, 37956_116.536666,39.927654_201902_180.01.jpg"
Beijing/16_12692_4733_s.jpg,"(12692,4733)","(40.05782418747476, 116.7492457544157)",129.05547,381,5539.0205,"The image depicts a large, open field with a mix of grass and trees; In the background, there is a town with several buildings, including a church; The town is situated near a forest, creating a picturesque landscape; The field is located near a road, which runs through the area, connecting the town to the surrounding countryside; The scene captures a peaceful and serene atmosphere, with the town and the field coexisting harmoniously.","48630_116.757401,40.064886_201310_179.72.jpg, 48629_116.755683,40.064416_201310_67.95.jpg"
Beijing/16_12625_4734_s.jpg,"(12625,4734)","(40.064892528695054, 116.13293631013002)",304.98032,1973,39261.21,"The image depicts a large, open field with a railway track running through it; The field is situated near a town, and there are several buildings visible in the background; The area appears to be a mix of rural and urban landscapes, with the railway track running through the middle of the field; The field is dotted with numerous cars and trucks, indicating that it is a busy area with transportation activity; The presence of the railway track and the vehicles suggest that this location might be a transportation hub or a place where goods are being transported.","46822_116.135466,40.068738_201308_205.69.jpg, 45679_116.138249,40.066886_201307_90.33.jpg, 46819_116.136948,40.070347_201309_24.93.jpg, 45671_116.138327,40.066695_201307_90.29.jpg, 46796_116.137511,40.067082_201307_270.07.jpg, 46818_116.137229,40.071224_201308_177.69.jpg, 46798_116.141786,40.068059_201308_179.06.jpg, 46799_116.136134,40.067251_201308_264.84.jpg"
Beijing/16_12635_4704_s.jpg,"(12635,4704)","(39.85252090509083, 116.22492279435176)",1172.9652,2303,36111.55,"The image is a bird's eye view of a city with a large body of water in the center; The waterway is surrounded by various buildings, including apartment complexes and a hotel; There are multiple cars and trucks moving along the streets, indicating a bustling urban environment; The city is also home to a railway system, as evidenced by the presence of multiple trains in different locations throughout the scene; The combination of water, buildings, and transportation systems creates a lively and dynamic cityscape.","14675_116.227822,39.856606_201902_271.9.jpg, 14664_116.231321,39.857984_201902_109.5.jpg"
Beijing/16_12661_4716_s.jpg,"(12661,4716)","(39.937549328869856, 116.46408765332829)",4244.753,9291,10000.0,"The image is a bird's eye view of a large city, featuring a busy intersection with multiple traffic lights; There are at least 13 traffic lights visible in the scene, positioned at various heights and angles to ensure proper traffic control; The intersection is surrounded by tall buildings, showcasing the urban landscape of the city; The image also includes a few cars and a truck, indicating the bustling nature of the city; The overall scene captures the dynamic and lively atmosphere of a metropolitan area.","38990_116.468101,39.942434_201902_173.4.jpg, 38224_116.464938,39.939403_201707_355.75.jpg, 38991_116.468189,39.942479_201902_173.4.jpg, 38213_116.468656,39.937555_201902_355.18.jpg, 38215_116.468747,39.937694_201902_354.88.jpg"
Beijing/16_12656_4697_s.jpg,"(12656,4697)","(39.80287189578841, 116.41809441121742)",885.74554,11298,34708.875,"The image is a bird's eye view of a city, featuring a large urban area with numerous buildings and streets; The city is densely populated, with numerous cars and trucks moving along the streets; There are at least 14 cars and 3 trucks visible in the scene, indicating a bustling urban environment; The buildings are of various sizes and heights, creating a diverse skyline; The cityscape is further enhanced by the presence of trees, which can be seen scattered throughout the area, adding a touch of greenery to the urban landscape.","12473_116.423128,39.805615_202003_178.52.jpg, 12362_116.423584,39.802979_201707_358.79.jpg, 12472_116.422794,39.808196_201903_185.5.jpg, 12474_116.423676,39.808363_202003_5.56.jpg, 12363_116.423477,39.808869_201707_358.85.jpg, 12356_116.42334,39.805294_202003_177.94.jpg"
Beijing/16_12673_4734_s.jpg,"(12673,4734)","(40.064892528695054, 116.57447143439438)",2001.3203,1687,19915.979,"The image is a bird's eye view of a city, featuring a large stadium and a college campus; The stadium is situated in the middle of the city, surrounded by various buildings and streets; The campus is located near the stadium, with a mix of residential and commercial buildings surrounding it.There are several cars and trucks visible on the streets, indicating that the city is bustling with activity; The image provides a comprehensive view of the city's layout, showcasing the interconnectedness of the stadium, campus, and surrounding areas.","48928_116.5812,40.070628_202003_351.89.jpg, 48909_116.582943,40.067022_202003_351.99.jpg, 48913_116.5821,40.065804_201706_353.9.jpg, 48918_116.582247,40.067396_201706_173.32.jpg, 48914_116.582584,40.06643_201706_353.58.jpg"
Beijing/16_12664_4713_s.jpg,"(12664,4713)","(39.91630219186917, 116.49168359859482)",2223.765,21117,10000.0,"The image is a satellite view of a large city with a mix of residential and commercial buildings; The city is situated on a river, and the streets are lined with trees; The city is bustling with activity, as numerous cars are driving on the roads, and traffic lights are scattered throughout the area to manage the flow of traffic; The image captures the essence of a thriving urban environment with a mix of natural elements and human-made structures.","37702_116.493853,39.919235_201902_93.28.jpg, 37900_116.500359,39.922021_201902_268.22.jpg, 37705_116.492144,39.921708_201902_89.27.jpg, 37703_116.493262,39.921581_201902_87.9.jpg, 37902_116.500574,39.922093_201902_268.08.jpg, 37888_116.499616,39.921911_201902_268.69.jpg"
Beijing/16_12677_4694_s.jpg,"(12677,4694)","(39.78158267817732, 116.61126602808308)",171.6713,656,2200.1614,"The image is an aerial view of a large, open field with a river running through it; The field is situated near a forest, and the river appears to be a tributary of a larger river; The landscape is characterized by a mix of open space and wooded areas, creating a picturesque scene.There are several cars parked in the field, possibly belonging to visitors who have come to enjoy the natural beauty of the area; The cars are scattered throughout the field, with some closer to the river and others further away.","26994_116.613107,39.783865_201601_86.59.jpg, 26995_116.618205,39.786181_201309_205.3.jpg, 26997_116.616466,39.782748_201309_21.19.jpg, 26998_116.619393,39.787857_201309_26.25.jpg"
