Coordinate,carbon,population,gdp,poi,nightlight,nightlight_log,houseprice,houseprice_predict
"(12685,4731)",6.328392169676681,7.444030468767049,8.997803147384268,"{'餐饮美食': 1, '休闲娱乐': 7, '运动健身': 5, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 5, '购物消费': 0, '汽车相关': 0, '酒店住宿': 0, '交通设施': 0, '科教文化': 3, '公司企业': 7}",5.25,1.658228039741516,10000.0,14713.611942688694
"(12676,4742)",6.52941105919962,7.574147758818573,9.032639427799609,"{'餐饮美食': 18, '休闲娱乐': 1, '运动健身': 0, '商务住宅': 2, '医疗保健': 2, '金融机构': 3, '旅游景点': 0, '生活服务': 14, '购物消费': 3, '汽车相关': 3, '酒店住宿': 4, '交通设施': 10, '科教文化': 2, '公司企业': 3}",26.015,3.2586731910705566,35185.0,44198.251351044964
"(12634,4709)",6.539351259108033,7.830157235932198,8.976244442637244,"{'餐饮美食': 4, '休闲娱乐': 0, '运动健身': 2, '商务住宅': 4, '医疗保健': 1, '金融机构': 0, '旅游景点': 1, '生活服务': 3, '购物消费': 3, '汽车相关': 1, '酒店住宿': 0, '交通设施': 14, '科教文化': 5, '公司企业': 7}",38.32,3.645972013473511,60457.28571428572,51888.13349152537
"(12638,4743)",6.437072160480147,7.569856758044791,9.01007805446511,"{'餐饮美食': 2, '休闲娱乐': 1, '运动健身': 0, '商务住宅': 4, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 2, '购物消费': 10, '汽车相关': 0, '酒店住宿': 1, '交通设施': 0, '科教文化': 0, '公司企业': 10}",12.445,2.5213189125061035,20806.125,53697.67204828973
"(12665,4716)",6.579178659140082,7.690418940472617,8.976244442637244,"{'餐饮美食': 12, '休闲娱乐': 1, '运动健身': 0, '商务住宅': 8, '医疗保健': 6, '金融机构': 13, '旅游景点': 1, '生活服务': 42, '购物消费': 6, '汽车相关': 4, '酒店住宿': 2, '交通设施': 30, '科教文化': 3, '公司企业': 5}",38.625,3.653899669647217,70978.33333333333,39548.280029082336
"(12645,4704)",6.561841188972463,7.728634664458128,9.089455591804342,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 2, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 4, '购物消费': 3, '汽车相关': 0, '酒店住宿': 0, '交通设施': 4, '科教文化': 0, '公司企业': 3}",28.065,3.334523200988769,79205.0,64738.180252040176
"(12670,4703)",6.460521379727083,7.5961913280105,8.976244442637244,"{'餐饮美食': 9, '休闲娱乐': 0, '运动健身': 3, '商务住宅': 3, '医疗保健': 0, '金融机构': 0, '旅游景点': 1, '生活服务': 9, '购物消费': 5, '汽车相关': 0, '酒店住宿': 2, '交通设施': 11, '科教文化': 14, '公司企业': 3}",20.55,3.0228610038757324,51892.5,50068.15102273795
"(12661,4716)",6.635777551938401,7.744733559206331,8.976244442637244,"{'餐饮美食': 30, '休闲娱乐': 7, '运动健身': 2, '商务住宅': 22, '医疗保健': 7, '金融机构': 3, '旅游景点': 4, '生活服务': 27, '购物消费': 22, '汽车相关': 3, '酒店住宿': 2, '交通设施': 33, '科教文化': 11, '公司企业': 5}",31.849998,3.461037397384644,81048.3,93343.28581593455
"(12679,4698)",6.341699800470721,7.4334107910288125,8.867728854393222,"{'餐饮美食': 11, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 8, '购物消费': 10, '汽车相关': 0, '酒店住宿': 1, '交通设施': 2, '科教文化': 0, '公司企业': 1}",7.325,1.99129319190979,20000.0,7240.818980469368
"(12658,4705)",6.569730469078001,7.830101344933459,9.089455591804342,"{'餐饮美食': 41, '休闲娱乐': 5, '运动健身': 15, '商务住宅': 19, '医疗保健': 16, '金融机构': 33, '旅游景点': 2, '生活服务': 72, '购物消费': 65, '汽车相关': 6, '酒店住宿': 3, '交通设施': 57, '科教文化': 44, '公司企业': 26}",35.71,3.5754308700561523,62043.142857142855,87718.26329809564
"(12676,4723)",6.399826807405149,7.671348824977243,9.041679327795071,"{'餐饮美食': 0, '休闲娱乐': 1, '运动健身': 0, '商务住宅': 0, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 3, '购物消费': 0, '汽车相关': 1, '酒店住宿': 0, '交通设施': 2, '科教文化': 0, '公司企业': 1}",11.425,2.4358038902282715,36640.0,53555.66549553244
"(12655,4729)",6.556934838624955,7.736419023833858,8.976244442637244,"{'餐饮美食': 120, '休闲娱乐': 14, '运动健身': 23, '商务住宅': 21, '医疗保健': 16, '金融机构': 25, '旅游景点': 4, '生活服务': 83, '购物消费': 188, '汽车相关': 4, '酒店住宿': 7, '交通设施': 76, '科教文化': 43, '公司企业': 104}",32.949997,3.494991064071656,67598.09090909091,82090.17677074754
"(12653,4707)",6.582421119853582,7.822466607460494,8.976244442637244,"{'餐饮美食': 27, '休闲娱乐': 0, '运动健身': 2, '商务住宅': 10, '医疗保健': 6, '金融机构': 1, '旅游景点': 7, '生活服务': 22, '购物消费': 24, '汽车相关': 1, '酒店住宿': 6, '交通设施': 27, '科教文化': 19, '公司企业': 3}",30.564999,3.4198555946350098,103153.25,88358.14234450745
"(12623,4714)",6.458644872119695,7.553588404134002,9.039922796596947,"{'餐饮美食': 15, '休闲娱乐': 0, '运动健身': 3, '商务住宅': 6, '医疗保健': 7, '金融机构': 2, '旅游景点': 2, '生活服务': 10, '购物消费': 12, '汽车相关': 9, '酒店住宿': 0, '交通设施': 23, '科教文化': 3, '公司企业': 9}",20.35,3.0130808353424072,20930.0,77043.9940507337
"(12674,4705)",6.425461581722924,7.575414488853656,9.046313609051037,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 1, '商务住宅': 0, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 7, '购物消费': 2, '汽车相关': 1, '酒店住宿': 0, '交通设施': 1, '科教文化': 0, '公司企业': 4}",16.46,2.800933122634888,10000.0,23955.1529022324
"(12656,4699)",6.493881411392829,7.800083307494567,8.973127364569754,"{'餐饮美食': 31, '休闲娱乐': 11, '运动健身': 13, '商务住宅': 8, '医疗保健': 6, '金融机构': 1, '旅游景点': 1, '生活服务': 43, '购物消费': 82, '汽车相关': 6, '酒店住宿': 2, '交通设施': 31, '科教文化': 16, '公司企业': 29}",24.61,3.203152894973755,63454.25,64056.20359133163
"(12651,4692)",6.438767737416676,7.624012672128964,8.973127364569754,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 1, '医疗保健': 2, '金融机构': 0, '旅游景点': 1, '生活服务': 7, '购物消费': 7, '汽车相关': 4, '酒店住宿': 0, '交通设施': 7, '科教文化': 1, '公司企业': 4}",12.62,2.535282850265503,10000.0,54480.16619823405
"(12683,4738)",6.477714248964713,7.392282588435419,9.026465323949472,"{'餐饮美食': 5, '休闲娱乐': 0, '运动健身': 1, '商务住宅': 3, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 5, '购物消费': 12, '汽车相关': 0, '酒店住宿': 0, '交通设施': 3, '科教文化': 3, '公司企业': 13}",27.56,3.3163654804229736,37800.0,51154.31600743716
"(12639,4726)",6.536152654059495,7.749334328090114,8.97625286235343,"{'餐饮美食': 16, '休闲娱乐': 0, '运动健身': 1, '商务住宅': 2, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 6, '购物消费': 19, '汽车相关': 1, '酒店住宿': 2, '交通设施': 16, '科教文化': 8, '公司企业': 9}",22.73,3.123685598373413,46137.25,83153.06610422661
"(12693,4720)",6.460724271283702,7.466491677930865,9.012274914975622,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 0, '购物消费': 0, '汽车相关': 0, '酒店住宿': 0, '交通设施': 0, '科教文化': 0, '公司企业': 0}",9.09,2.2071750164031982,18165.5,24790.949450203723
"(12621,4712)",6.432845204702767,7.548199584851527,9.02520119228046,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 7, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 8, '购物消费': 0, '汽车相关': 0, '酒店住宿': 0, '交通设施': 6, '科教文化': 3, '公司企业': 0}",22.64,3.119718313217163,44977.0,61485.2554731976
"(12654,4723)",6.61412351037833,7.826308767661285,8.976244442637244,"{'餐饮美食': 70, '休闲娱乐': 8, '运动健身': 8, '商务住宅': 20, '医疗保健': 11, '金融机构': 30, '旅游景点': 3, '生活服务': 53, '购物消费': 55, '汽车相关': 7, '酒店住宿': 24, '交通设施': 92, '科教文化': 27, '公司企业': 62}",37.485,3.623940944671631,83588.0,90332.28559027253
"(12631,4709)",6.498046642940382,7.722061663641019,8.976244442637244,"{'餐饮美食': 1, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 3, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 4, '购物消费': 1, '汽车相关': 0, '酒店住宿': 0, '交通设施': 4, '科教文化': 0, '公司企业': 4}",21.529999,3.0694472789764404,47600.0,55607.814982520555
"(12677,4699)",6.379531869778662,7.434963633233602,8.811356156102619,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 1, '生活服务': 2, '购物消费': 1, '汽车相关': 0, '酒店住宿': 0, '交通设施': 2, '科教文化': 0, '公司企业': 0}",9.415,2.2423040866851807,10000.0,22445.77533547485
"(12679,4743)",6.532431534898139,7.707576031451077,9.03847887955082,"{'餐饮美食': 46, '休闲娱乐': 3, '运动健身': 12, '商务住宅': 7, '医疗保健': 35, '金融机构': 10, '旅游景点': 0, '生活服务': 69, '购物消费': 77, '汽车相关': 7, '酒店住宿': 1, '交通设施': 19, '科教文化': 36, '公司企业': 18}",32.65,3.485844850540161,39064.8,46808.96122932311
"(12652,4735)",6.497080551069429,7.588523589029706,8.99047297479958,"{'餐饮美食': 0, '休闲娱乐': 1, '运动健身': 1, '商务住宅': 1, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 2, '购物消费': 7, '汽车相关': 1, '酒店住宿': 2, '交通设施': 10, '科教文化': 0, '公司企业': 4}",11.75,2.463853359222412,57519.0,49417.57193059236
"(12669,4719)",6.4974502858846,7.681534321502295,8.976244442637244,"{'餐饮美食': 37, '休闲娱乐': 2, '运动健身': 8, '商务住宅': 8, '医疗保健': 12, '金融机构': 8, '旅游景点': 0, '生活服务': 46, '购物消费': 36, '汽车相关': 1, '酒店住宿': 1, '交通设施': 12, '科教文化': 26, '公司企业': 3}",37.235,3.6172492504119873,83066.5,31090.233167088736
"(12639,4714)",6.612514477873045,7.8033917030643964,8.976244442637244,"{'餐饮美食': 51, '休闲娱乐': 4, '运动健身': 10, '商务住宅': 16, '医疗保健': 15, '金融机构': 10, '旅游景点': 4, '生活服务': 56, '购物消费': 47, '汽车相关': 8, '酒店住宿': 4, '交通设施': 36, '科教文化': 7, '公司企业': 19}",40.93,3.7118632793426514,80141.71428571429,62639.012838164315
"(12638,4741)",6.455936761821533,7.614049918937705,9.002219291726778,"{'餐饮美食': 3, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 3, '医疗保健': 0, '金融机构': 1, '旅游景点': 0, '生活服务': 9, '购物消费': 2, '汽车相关': 2, '酒店住宿': 0, '交通设施': 7, '科教文化': 2, '公司企业': 5}",18.63,2.9247732162475586,52244.8,53891.23797052603
"(12623,4735)",6.36959356875253,7.52112484715995,9.110937609795664,"{'餐饮美食': 16, '休闲娱乐': 2, '运动健身': 0, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 1, '生活服务': 10, '购物消费': 6, '汽车相关': 0, '酒店住宿': 0, '交通设施': 4, '科教文化': 4, '公司企业': 3}",9.865,2.288993120193481,31200.0,34287.515362666585
"(12642,4719)",6.601185288819902,7.855318743692512,8.976244442637244,"{'餐饮美食': 55, '休闲娱乐': 8, '运动健身': 15, '商务住宅': 18, '医疗保健': 25, '金融机构': 9, '旅游景点': 4, '生活服务': 64, '购物消费': 254, '汽车相关': 13, '酒店住宿': 2, '交通设施': 120, '科教文化': 27, '公司企业': 23}",46.73,3.844386339187622,154421.81818181818,86438.49241191286
"(12631,4716)",6.539196231693479,7.731416633376955,8.976244442637244,"{'餐饮美食': 15, '休闲娱乐': 1, '运动健身': 3, '商务住宅': 19, '医疗保健': 2, '金融机构': 3, '旅游景点': 1, '生活服务': 14, '购物消费': 5, '汽车相关': 3, '酒店住宿': 0, '交通设施': 32, '科教文化': 4, '公司企业': 62}",28.244999,3.340916395187378,55025.833333333336,92474.56129381557
"(12633,4694)",6.421987245884452,7.35970283757199,9.010420252952516,"{'餐饮美食': 2, '休闲娱乐': 1, '运动健身': 2, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 3, '生活服务': 2, '购物消费': 4, '汽车相关': 0, '酒店住宿': 0, '交通设施': 2, '科教文化': 1, '公司企业': 1}",20.695,3.0298922061920166,19800.0,24605.413759569885
"(12656,4743)",6.425786222351952,7.694298368196831,8.985423049068691,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 1, '商务住宅': 5, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 6, '购物消费': 8, '汽车相关': 1, '酒店住宿': 0, '交通设施': 2, '科教文化': 6, '公司企业': 3}",7.55,2.021547555923462,47578.0,39127.64397624505
"(12665,4724)",6.510411558132774,7.674006301311031,9.11314033777009,"{'餐饮美食': 60, '休闲娱乐': 6, '运动健身': 4, '商务住宅': 24, '医疗保健': 11, '金融机构': 1, '旅游景点': 1, '生活服务': 49, '购物消费': 67, '汽车相关': 3, '酒店住宿': 2, '交通设施': 16, '科教文化': 55, '公司企业': 67}",22.385,3.108391046524048,54000.0,59493.30200583966
"(12680,4695)",6.306389026231053,7.507800943026786,8.883433846679093,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 4, '购物消费': 5, '汽车相关': 2, '酒店住宿': 0, '交通设施': 0, '科教文化': 0, '公司企业': 3}",5.7200003,1.743968844413757,20000.0,350.1068003854598
"(12630,4691)",6.4243762999260525,7.506183396843673,9.011543643982591,"{'餐饮美食': 135, '休闲娱乐': 5, '运动健身': 2, '商务住宅': 8, '医疗保健': 5, '金融机构': 6, '旅游景点': 1, '生活服务': 60, '购物消费': 285, '汽车相关': 6, '酒店住宿': 0, '交通设施': 32, '科教文化': 5, '公司企业': 10}",49.355003,3.899039268493652,23000.0,38379.702623688674
"(12642,4697)",6.504620466079553,7.613350419017446,9.089455591804342,"{'餐饮美食': 2, '休闲娱乐': 2, '运动健身': 2, '商务住宅': 5, '医疗保健': 8, '金融机构': 1, '旅游景点': 17, '生活服务': 11, '购物消费': 4, '汽车相关': 1, '酒店住宿': 0, '交通设施': 14, '科教文化': 4, '公司企业': 15}",22.775002,3.12566351890564,35000.0,41121.65317649654
"(12667,4729)",6.479521355195346,7.620045546697268,9.10922401075627,"{'餐饮美食': 2, '休闲娱乐': 1, '运动健身': 1, '商务住宅': 1, '医疗保健': 0, '金融机构': 0, '旅游景点': 1, '生活服务': 8, '购物消费': 18, '汽车相关': 14, '酒店住宿': 0, '交通设施': 6, '科教文化': 6, '公司企业': 9}",29.5,3.384390354156494,93649.0,42883.63455295984
"(12646,4734)",6.514651363752005,7.801811008886564,9.013399697070197,"{'餐饮美食': 8, '休闲娱乐': 4, '运动健身': 4, '商务住宅': 8, '医疗保健': 33, '金融机构': 6, '旅游景点': 0, '生活服务': 29, '购物消费': 22, '汽车相关': 6, '酒店住宿': 0, '交通设施': 26, '科教文化': 30, '公司企业': 11}",28.224998,3.340208053588867,54845.25,64425.570257496605
"(12673,4711)",6.495786205270503,7.641641602520714,8.976244442637244,"{'餐饮美食': 224, '休闲娱乐': 15, '运动健身': 14, '商务住宅': 27, '医疗保健': 19, '金融机构': 5, '旅游景点': 0, '生活服务': 126, '购物消费': 298, '汽车相关': 5, '酒店住宿': 11, '交通设施': 22, '科教文化': 45, '公司企业': 27}",27.36,3.30908203125,45220.0,45227.45363773528
"(12665,4709)",6.523165796939435,7.687227353489728,8.976244442637244,"{'餐饮美食': 69, '休闲娱乐': 12, '运动健身': 9, '商务住宅': 18, '医疗保健': 13, '金融机构': 9, '旅游景点': 0, '生活服务': 40, '购物消费': 63, '汽车相关': 6, '酒店住宿': 18, '交通设施': 25, '科教文化': 18, '公司企业': 26}",44.25,3.789855480194092,38800.0,54256.13102555591
"(12662,4720)",6.59718730012745,7.67713155003,8.976244442637244,"{'餐饮美食': 11, '休闲娱乐': 3, '运动健身': 15, '商务住宅': 18, '医疗保健': 12, '金融机构': 1, '旅游景点': 7, '生活服务': 36, '购物消费': 33, '汽车相关': 2, '酒店住宿': 0, '交通设施': 25, '科教文化': 11, '公司企业': 16}",36.559998,3.598954677581787,79565.28571428571,47275.771180506636
"(12695,4692)",6.282605296886572,7.589974958416647,8.832678954239718,"{'餐饮美食': 9, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 1, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 4, '购物消费': 10, '汽车相关': 1, '酒店住宿': 0, '交通设施': 2, '科教文化': 0, '公司企业': 1}",12.495,2.5253286361694336,17482.0,22160.679591944776
"(12647,4710)",6.626097637370893,7.854652233977426,8.976244442637244,"{'餐饮美食': 77, '休闲娱乐': 1, '运动健身': 3, '商务住宅': 22, '医疗保健': 19, '金融机构': 5, '旅游景点': 19, '生活服务': 54, '购物消费': 63, '汽车相关': 4, '酒店住宿': 13, '交通设施': 32, '科教文化': 24, '公司企业': 28}",43.575,3.7744836807250977,147504.25,110794.05879429207
"(12665,4728)",6.487900255839672,7.683256258971346,8.977213782722538,"{'餐饮美食': 14, '休闲娱乐': 0, '运动健身': 6, '商务住宅': 6, '医疗保健': 4, '金融机构': 0, '旅游景点': 0, '生活服务': 7, '购物消费': 12, '汽车相关': 3, '酒店住宿': 2, '交通设施': 14, '科教文化': 9, '公司企业': 10}",29.33,3.378610849380493,96914.0,40716.22736153935
"(12666,4735)",6.476328667532202,7.445091732545107,8.943446607496195,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 12, '医疗保健': 1, '金融机构': 0, '旅游景点': 0, '生活服务': 2, '购物消费': 0, '汽车相关': 0, '酒店住宿': 0, '交通设施': 3, '科教文化': 0, '公司企业': 0}",16.285,2.7902443408966064,105443.0,21752.575700478526
"(12628,4731)",6.35856494922278,7.541354697606161,8.976259950161303,"{'餐饮美食': 3, '休闲娱乐': 1, '运动健身': 0, '商务住宅': 1, '医疗保健': 13, '金融机构': 0, '旅游景点': 0, '生活服务': 4, '购物消费': 1, '汽车相关': 1, '酒店住宿': 0, '交通设施': 1, '科教文化': 0, '公司企业': 4}",19.11,2.950211763381958,53730.0,45736.144249167126
"(12617,4693)",6.30390554282294,7.302690236894353,8.740871668998533,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 0, '生活服务': 0, '购物消费': 0, '汽车相关': 0, '酒店住宿': 0, '交通设施': 1, '科教文化': 0, '公司企业': 0}",3.9950001,1.3850436210632324,24808.5,17986.157469967904
"(12686,4693)",6.242310218710501,7.448898911176404,8.91974432406121,"{'餐饮美食': 2, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 1, '金融机构': 0, '旅游景点': 1, '生活服务': 4, '购物消费': 12, '汽车相关': 4, '酒店住宿': 0, '交通设施': 2, '科教文化': 0, '公司企业': 3}",3.1550002,1.1489886045455933,20000.0,11195.617291791452
"(12652,4739)",6.464364003415053,7.720505444686455,8.847591177356586,"{'餐饮美食': 89, '休闲娱乐': 1, '运动健身': 1, '商务住宅': 18, '医疗保健': 10, '金融机构': 2, '旅游景点': 1, '生活服务': 38, '购物消费': 80, '汽车相关': 7, '酒店住宿': 21, '交通设施': 7, '科教文化': 27, '公司企业': 33}",14.815001,2.6956403255462646,30605.5,43561.84996608719
"(12685,4718)",6.458605536452833,7.480537887402171,8.841181381174001,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 0, '医疗保健': 0, '金融机构': 0, '旅游景点': 1, '生活服务': 0, '购物消费': 0, '汽车相关': 0, '酒店住宿': 0, '交通设施': 2, '科教文化': 0, '公司企业': 0}",7.93,2.070652961730957,32000.0,25083.51011878016
"(12633,4729)",6.39968108262014,7.418814253976938,8.976274375264014,"{'餐饮美食': 10, '休闲娱乐': 0, '运动健身': 3, '商务住宅': 4, '医疗保健': 4, '金融机构': 2, '旅游景点': 1, '生活服务': 18, '购物消费': 10, '汽车相关': 3, '酒店住宿': 2, '交通设施': 5, '科教文化': 4, '公司企业': 2}",13.96,2.6361961364746094,74586.5,57445.87786598016
"(12687,4730)",6.2926812462803285,7.582367411249156,8.832704853579608,"{'餐饮美食': 19, '休闲娱乐': 1, '运动健身': 0, '商务住宅': 0, '医疗保健': 8, '金融机构': 0, '旅游景点': 0, '生活服务': 19, '购物消费': 31, '汽车相关': 7, '酒店住宿': 0, '交通设施': 3, '科教文化': 4, '公司企业': 12}",9.75,2.2772672176361084,10000.0,21128.423956877887
"(12633,4711)",6.570122961194757,7.854688121030163,8.976244442637244,"{'餐饮美食': 39, '休闲娱乐': 1, '运动健身': 3, '商务住宅': 15, '医疗保健': 21, '金融机构': 3, '旅游景点': 1, '生活服务': 28, '购物消费': 26, '汽车相关': 16, '酒店住宿': 9, '交通设施': 42, '科教文化': 12, '公司企业': 34}",42.475,3.748915672302246,56131.0,72943.88450207672
"(12645,4702)",6.540677217883505,7.639719107910207,9.089455591804342,"{'餐饮美食': 67, '休闲娱乐': 7, '运动健身': 10, '商务住宅': 12, '医疗保健': 14, '金融机构': 8, '旅游景点': 0, '生活服务': 73, '购物消费': 46, '汽车相关': 2, '酒店住宿': 10, '交通设施': 42, '科教文化': 30, '公司企业': 23}",28.905,3.3640146255493164,47408.833333333336,51956.19975913693
"(12655,4706)",6.586400422570456,7.773038418415271,8.976244442637244,"{'餐饮美食': 19, '休闲娱乐': 4, '运动健身': 2, '商务住宅': 15, '医疗保健': 9, '金融机构': 0, '旅游景点': 3, '生活服务': 34, '购物消费': 24, '汽车相关': 8, '酒店住宿': 4, '交通设施': 23, '科教文化': 11, '公司企业': 9}",37.335,3.619931221008301,64776.42857142857,95223.40640107571
"(12675,4709)",6.466990206634607,7.577045429707872,8.976681249065225,"{'餐饮美食': 18, '休闲娱乐': 6, '运动健身': 2, '商务住宅': 9, '医疗保健': 1, '金融机构': 2, '旅游景点': 1, '生活服务': 8, '购物消费': 14, '汽车相关': 15, '酒店住宿': 0, '交通设施': 7, '科教文化': 4, '公司企业': 29}",22.755001,3.1247849464416504,40241.66666666666,53630.18814504643
"(12622,4708)",6.328957383445187,7.517503808296252,9.030295653177578,"{'餐饮美食': 0, '休闲娱乐': 0, '运动健身': 0, '商务住宅': 6, '医疗保健': 3, '金融机构': 0, '旅游景点': 1, '生活服务': 3, '购物消费': 1, '汽车相关': 0, '酒店住宿': 0, '交通设施': 11, '科教文化': 1, '公司企业': 0}",37.87,3.6341593265533447,26922.33333333333,35675.18757189165
